USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23452 13800 ?        Ss   14:32   0:01 /sbin/init splash
root         241  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         242  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_5]
root         243  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         244  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_6]
root         245  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         246  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_7]
root         247  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         257  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_8]
root         258  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         259  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_9]
root         260  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         263  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_10]
root         264  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         294  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/1:1H-kblockd]
root         301  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_11]
root         302  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         303  0.0  0.0      0     0 ?        S    14:32   0:00 [usb-storage]
root         304  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-uas]
root         336  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-raid5]
root         386  0.0  0.0      0     0 ?        S    14:32   0:00 [jbd2/sdb3-8]
root         387  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         448  0.0  0.0  67104 17236 ?        S<s  14:32   0:00 /usr/lib/systemd/systemd-journald
root         478  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-rpcio]
root         479  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-xprti]
root         483  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         484  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         485  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         486  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-nvme-]
root         532  0.0  0.0  30080  7808 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-udevd
root         536  0.0  0.0      0     0 ?        S    14:32   0:00 [psimon]
root         893  0.0  0.0      0     0 ?        S    14:32   0:00 [jbd2/sda1-8]
root         894  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         910  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         911  0.0  0.0      0     0 ?        S    14:32   0:02 [jbd2/sdb4-8]
root         912  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ext4-]
root         915  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-ttm]
root         916  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         917  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         918  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-amdgp]
root         919  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-dm_vb]
root         920  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc0]
root         921  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc1]
root         922  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc2]
root         923  0.0  0.0      0     0 ?        S    14:32   0:00 [card1-crtc3]
root         935  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_system_task]
root         936  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_delay_taskq]
root         937  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_dynamic_tas]
root         938  0.0  0.0      0     0 ?        S<   14:32   0:00 [spl_kmem_cache]
root         941  0.0  0.0      0     0 ?        S<   14:32   0:00 [zvol]
root         942  0.0  0.0      0     0 ?        S    14:32   0:00 [arc_prune]
root         943  0.0  0.0      0     0 ?        S    14:32   0:00 [arc_evict]
root         944  0.0  0.0      0     0 ?        SN   14:32   0:00 [arc_reap]
root         945  0.0  0.0      0     0 ?        S    14:32   0:00 [dbu_evict]
root         946  0.0  0.0      0     0 ?        SN   14:32   0:00 [dbuf_evict]
root         947  0.0  0.0      0     0 ?        SN   14:32   0:00 [z_vdev_file]
root         948  0.0  0.0      0     0 ?        S    14:32   0:00 [l2arc_feed]
_rpc        1071  0.0  0.0   7968  3712 ?        Ss   14:32   0:00 /sbin/rpcbind -f -w
systemd+    1088  0.0  0.0  21980 12928 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-resolved
systemd+    1089  0.0  0.0  91560  7808 ?        Ssl  14:32   0:00 /usr/lib/systemd/systemd-timesyncd
root        1107  0.0  0.0   5140  1540 ?        Ss   14:32   0:00 /usr/sbin/blkmapd
root        1127  0.0  0.0   5632  2816 ?        Ss   14:32   0:00 /usr/sbin/nfsdcld
root        1163  0.0  0.0 316472  8024 ?        Ssl  14:32   0:00 /usr/libexec/accounts-daemon
avahi       1165  0.0  0.0   8764  3968 ?        Ss   14:32   0:00 avahi-daemon: running [a108pc02.local]
message+    1167  0.0  0.0  11960  5888 ?        Ss   14:32   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1171  0.0  0.0   5428  3456 ?        Ss   14:32   0:00 /usr/sbin/fsidd
root        1176  0.0  0.0  83016  3968 ?        Ssl  14:32   0:00 /usr/sbin/irqbalance
polkitd     1200  0.0  0.0 311440 10672 ?        Ssl  14:32   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1201  0.0  0.0 316380  7168 ?        Ssl  14:32   0:00 /usr/libexec/power-profiles-daemon
prometh+    1207  0.0  0.0 1611376 15104 ?       Ssl  14:32   0:00 /usr/bin/prometheus-node-exporter
root        1210  0.0  0.0  12560  6784 ?        Ss   14:32   0:00 /usr/sbin/smartd -n
root        1218  0.0  0.0 312468  6528 ?        Ssl  14:32   0:00 /usr/libexec/switcheroo-control
root        1224  0.0  0.0  18144  8840 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-logind
root        1225  0.0  0.0  17540  7808 ?        Ss   14:32   0:00 /usr/lib/systemd/systemd-machined
root        1227  0.0  0.0 258816 14336 ?        Ssl  14:32   0:04 /usr/bin/touchegg --daemon
root        1229  0.0  0.0 469452 14456 ?        Ssl  14:32   0:01 /usr/libexec/udisks2/udisksd
root        1231  0.0  0.0  76492 14464 ?        Ss   14:32   0:00 /usr/sbin/virtlockd
root        1239  0.0  0.0  76496 14464 ?        Ss   14:32   0:00 /usr/sbin/virtlogd
root        1241  0.0  0.0 102120  5376 ?        Ssl  14:32   0:00 zed -F
avahi       1254  0.0  0.0   8424  1288 ?        S    14:32   0:00 avahi-daemon: chroot helper
syslog      1280  0.0  0.0 222508  6016 ?        Ssl  14:32   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1845  0.0  0.0 341284 20928 ?        Ssl  14:32   0:00 /usr/sbin/NetworkManager --no-daemon
root        1846  0.0  0.0  17380  6016 ?        Ss   14:32   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1869  0.0  0.0 318356 11940 ?        Ssl  14:32   0:00 /usr/sbin/ModemManager
root        1995  0.0  0.0      0     0 ?        S    14:32   0:00 [psimon]
root        2005  0.0  0.0  40696 11904 ?        Ss   14:32   0:00 /usr/sbin/cupsd -l
root        2019  0.0  0.1 2468048 50536 ?       Ssl  14:32   0:01 /usr/bin/containerd
colord      2042  0.0  0.0 323096 14932 ?        Ssl  14:32   0:00 /usr/libexec/colord
root        2054  0.0  0.0  88056 20608 ?        Ss   14:32   0:00 /usr/sbin/winbindd --foreground --no-process-group
root        2091  0.0  0.0  88856 15408 ?        S    14:32   0:00 winbindd: domain child [A108PC02]
cups-br+    2133  0.0  0.0 268644 19456 ?        Ssl  14:33   0:00 /usr/sbin/cups-browsed
root        2134  0.0  0.2 3837016 84512 ?       Ssl  14:33   0:04 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2145  0.0  0.0   3008  2304 ?        Ss   14:33   0:00 /usr/sbin/rpc.idmapd
root        2146  0.0  0.0  12040  2688 ?        Ss   14:33   0:00 /usr/sbin/cron -f -P
statd       2148  0.0  0.0   4560  1796 ?        Ss   14:33   0:00 /usr/sbin/rpc.statd
root        2150  0.0  0.0  43212  1820 ?        Ss   14:33   0:00 /usr/sbin/rpc.mountd
kernoops    2204  0.0  0.0  12744  2204 ?        Ss   14:33   0:00 /usr/sbin/kerneloops --test
root        2209  0.0  0.0 380092  7016 ?        SLsl 14:33   0:00 /usr/sbin/lightdm
kernoops    2211  0.0  0.0  12744  2056 ?        Ss   14:33   0:00 /usr/sbin/kerneloops
root        2214  0.0  0.0      0     0 ?        I    14:33   0:00 [lockd]
root        2218  0.0  0.0      0     0 ?        I<   14:33   0:00 [kworker/R-ipmi-]
root        2238  0.0  0.0      0     0 ?        I<   14:33   0:00 [kworker/R-iprt-]
root        2241  0.0  0.0      0     0 ?        I<   14:33   0:00 [kworker/R-tls-s]
root        2243  0.0  0.0      0     0 ?        S    14:33   0:00 [iprt-VBoxTscThread]
root        2283  1.5  0.4 1289204 147024 tty7   Ssl+ 14:33   2:31 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2295  0.0  0.0  11320  1920 tty1     Ss+  14:33   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        2296  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2297  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2298  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2299  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2300  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2301  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2302  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2303  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2346  0.0  0.0 228108 26252 ?        Ss   14:33   0:00 /usr/sbin/apache2 -k start
www-data    2359  0.0  0.0 228756 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2360  0.0  0.0 228756 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2361  0.0  0.0 228756 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2362  0.0  0.0 228756 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2363  0.0  0.0 228756 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
libvirt+    2407  0.0  0.0  11484  2092 ?        S    14:33   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2408  0.0  0.0  11484  1068 ?        S    14:33   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
rtkit       2500  0.0  0.0  22940  3456 ?        SNsl 14:33   0:00 /usr/libexec/rtkit-daemon
root        2578  0.0  0.0 320220  9728 ?        Ssl  14:33   0:00 /usr/libexec/upowerd
root        2763  0.0  0.0 236228  8912 ?        Sl   14:33   0:00 lightdm --session-child 13 20
root        3278  0.0  0.0 1238360 14160 ?       Sl   14:33   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
root        3300  0.0  0.0 223476 29684 ?        Ss   14:33   0:00 apache2 -DFOREGROUND
root        3374  0.0  0.0 1745340 4352 ?        Sl   14:33   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
root        3380  0.0  0.0 1745340 4096 ?        Sl   14:33   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
www-data    3414  0.0  0.0 223508  8704 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3415  0.0  0.0 223508  8704 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3416  0.0  0.0 223508  8704 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3417  0.0  0.0 223508  8704 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3418  0.0  0.0 223508  8704 ?        S    14:33   0:00 apache2 -DFOREGROUND
dam         3452  0.0  0.0  20736 11392 ?        Ss   14:33   0:00 /usr/lib/systemd/systemd --user
dam         3453  0.0  0.0  23240  3728 ?        S    14:33   0:00 (sd-pam)
dam         3462  0.0  0.0 120576 15508 ?        S<sl 14:33   0:09 /usr/bin/pipewire
dam         3463  0.0  0.0 100352  6016 ?        Ssl  14:33   0:00 /usr/bin/pipewire -c filter-chain.conf
dam         3465  0.0  0.0  40052 25472 ?        Ss   14:33   0:00 /usr/bin/python3 /usr/bin/powerline-daemon --foreground
dam         3466  0.0  0.1 570536 32672 ?        S<sl 14:33   0:00 /usr/bin/wireplumber
dam         3467  0.1  0.0 130044 23316 ?        S<Lsl 14:33   0:15 /usr/bin/pipewire-pulse
dam         3468  0.0  0.0 319496  9984 ?        SLsl 14:33   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
dam         3469  0.0  0.0  10432  5376 ?        Ss   14:33   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dam         3494  0.0  0.0 477960 14720 ?        Ssl  14:33   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
dam         3706  0.0  0.0 453224 24992 ?        Sl   14:33   0:00 /usr/bin/csd-automount
dam         3707  0.0  0.0 304212  5888 ?        Sl   14:33   0:00 /usr/bin/csd-settings-remap
dam         3708  0.0  0.0 601816 25996 ?        Sl   14:33   0:00 /usr/bin/csd-power
dam         3710  0.0  0.0 379316 24484 ?        Sl   14:33   0:00 /usr/bin/csd-housekeeping
dam         3711  0.0  0.0 379776 24688 ?        Sl   14:33   0:00 /usr/bin/csd-wacom
dam         3712  0.0  0.0 541436 27088 ?        Sl   14:33   0:00 /usr/bin/csd-color
dam         3713  0.0  0.1 446340 34040 ?        Sl   14:33   0:00 /usr/bin/csd-background
dam         3717  0.0  0.0 383104  7808 ?        Sl   14:33   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
dam         3718  0.0  0.0 303796  5376 ?        Sl   14:33   0:00 /usr/bin/csd-screensaver-proxy
dam         3719  0.0  0.0 381736 27284 ?        Sl   14:33   0:00 /usr/bin/csd-xsettings
dam         3726  0.0  0.0 379076 25216 ?        Sl   14:33   0:01 /usr/bin/csd-keyboard
dam         3729  0.0  0.0   9556  4736 ?        S    14:33   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_0
dam         3730  0.0  0.0 523592 27668 ?        Sl   14:33   0:00 /usr/bin/csd-media-keys
dam         3731  0.0  0.0 305104 24712 ?        Sl   14:33   0:00 /usr/bin/csd-clipboard
dam         3732  0.0  0.0 318044 10368 ?        Sl   14:33   0:00 /usr/bin/csd-print-notifications
dam         3733  0.0  0.0 305208  6272 ?        Sl   14:33   0:00 /usr/bin/csd-a11y-settings
dam         3739  0.0  0.0 230372  5888 ?        Ssl  14:33   0:00 /usr/libexec/dconf-service
dam         3778  0.0  0.0 317256  8192 ?        Ssl  14:33   0:00 /usr/libexec/gvfsd
dam         3787  0.0  0.0 462632  7168 ?        Sl   14:33   0:00 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
dam         3804  0.0  0.0 236164  7936 ?        Sl   14:33   0:01 /usr/libexec/at-spi2-registryd --use-gnome-session
dam         3810  0.0  0.0 419012 14848 ?        Sl   14:33   0:00 /usr/libexec/csd-printer
dam         3827  0.0  0.0 392440 10496 ?        Ssl  14:33   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
dam         3838  0.0  0.0 313640  7296 ?        Ssl  14:33   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dam         3843  0.0  0.0 312548  6528 ?        Ssl  14:33   0:00 /usr/libexec/gvfs-goa-volume-monitor
dam         3848  0.0  0.0 549744 23936 ?        Sl   14:33   0:00 /usr/libexec/goa-daemon
dam         3856  0.0  0.0 392064  9216 ?        Sl   14:33   0:00 /usr/libexec/goa-identity-service
dam         3862  0.0  0.0 312672  6784 ?        Ssl  14:33   0:00 /usr/libexec/gvfs-mtp-volume-monitor
dam         3868  0.0  0.0 392152  7680 ?        Ssl  14:33   0:00 /usr/libexec/gvfs-afc-volume-monitor
dam         3875  0.0  0.1 545316 40692 ?        Sl   14:33   0:00 cinnamon-launcher
dam         3879  2.8  0.8 5500152 279268 ?      Sl   14:33   4:36 cinnamon --replace
